"downloaded","item_id","item_definition","category","8","9","11","12","13","14","15","16"
2023-12-01,243,"montre","household",0.02,0.25,0.11,0.04,0.1,0.04,0.5,0
2023-12-01,244,"musique","household",0.09,0.25,0.11,0.23,0.31,0.25,0.5,0.2
2023-12-01,245,"oreiller","household",0.04,0,0.04,0.08,0.1,0,0.5,0
2023-12-01,246,"papier","household",0.04,0.25,0.04,0.04,0.09,0,0.5,0.2
2023-12-01,247,"peigne","household",0.02,0,0.07,0.08,0.14,0.04,0,0.4
2023-12-01,248,"photo","household",0.02,0.25,0.07,0.04,0.14,0.08,0.5,0.6
2023-12-01,249,"plante","household",0.02,0.25,0.07,0.12,0.05,0,0.5,0.2
2023-12-01,250,"plat","household",0.02,0,0.04,0.04,0.05,0,0.5,0.2
2023-12-01,251,"porte-monnaie","household",0,0,0,0,0.05,0,0,0.2
2023-12-01,252,"poubelle","household",0.02,0.25,0.14,0.12,0.21,0.17,0.5,0.4
2023-12-01,253,"radio","household",0.02,0,0.04,0,0.03,0,0.5,0.2
2023-12-01,254,"savon","household",0.02,0.25,0.04,0.15,0.17,0.12,0.5,0.4
2023-12-01,255,"serviette","household",0.04,0,0.07,0.19,0.19,0.04,0.5,0
2023-12-01,256,"sirop","household",0,0,0,0.08,0.05,0,0,0.2
2023-12-01,257,"sous/pièces","household",0,0,0,0,0.03,0,0,0
2023-12-01,258,"sucette","household",0.04,0,0.07,0.08,0.13,0.17,0,0.6
2023-12-01,259,"tasse","household",0.02,0,0,0,0.09,0.04,0.5,0.2
2023-12-01,260,"télécommande","household",0.06,0.25,0.14,0.15,0.29,0.17,0.5,0.2
2023-12-01,261,"téléphone","household",0.09,0.25,0.25,0.27,0.43,0.33,0.5,0.6
2023-12-01,262,"verre","household",0.02,0,0.07,0.04,0.15,0.08,0.5,0
2023-12-01,263,"baignoire","furniture_rooms",0.09,0.25,0.21,0.23,0.28,0.25,0.5,0.2
2023-12-01,264,"berceau","furniture_rooms",0.06,0,0,0.12,0.06,0,0,0.2
2023-12-01,265,"canapé","furniture_rooms",0.06,0.25,0.21,0.23,0.27,0.17,0.5,0.6
2023-12-01,266,"chaise","furniture_rooms",0,0,0.18,0.23,0.29,0.12,0.5,0.2
2023-12-01,267,"chaise haute","furniture_rooms",0.02,0,0.11,0.12,0.16,0.25,0.5,0.2
2023-12-01,268,"chambre","furniture_rooms",0.04,0.25,0.32,0.19,0.34,0.29,0.5,0.4
2023-12-01,269,"cuisinière","furniture_rooms",0.02,0,0.04,0.04,0.03,0,0,0.2
2023-12-01,270,"escalier","furniture_rooms",0.09,0.25,0.07,0.15,0.26,0.08,0.5,0.2
2023-12-01,271,"évier","furniture_rooms",0,0,0,0.08,0.03,0,0.5,0
2023-12-01,272,"fauteuil","furniture_rooms",0,0.25,0.07,0.08,0.02,0.04,0.5,0
2023-12-01,273,"fenêtre","furniture_rooms",0.04,0.25,0.11,0.12,0.15,0.17,0.5,0.4
2023-12-01,274,"four","furniture_rooms",0.04,0,0,0.04,0.12,0.08,0.5,0.2
2023-12-01,275,"frigo","furniture_rooms",0,0.25,0.11,0.04,0.13,0.04,0.5,0.2
2023-12-01,276,"garage","furniture_rooms",0,0,0,0.08,0.02,0,0,0.4
2023-12-01,277,"lavabo","furniture_rooms",0,0.25,0,0,0.05,0,0.5,0
2023-12-01,278,"lit","furniture_rooms",0.09,0.25,0.32,0.38,0.5,0.42,1,0.2
2023-12-01,279,"parc","furniture_rooms",0.02,0,0.18,0.23,0.13,0.12,0.5,0
2023-12-01,280,"porte","furniture_rooms",0,0.25,0.14,0.19,0.33,0.08,0.5,0.2
2023-12-01,281,"pot","furniture_rooms",0,0,0,0.04,0.05,0,0,0.2
2023-12-01,282,"salle de bain","furniture_rooms",0.02,0.25,0.21,0.19,0.31,0.21,0.5,0.2
2023-12-01,283,"salon","furniture_rooms",0.09,0,0.14,0.23,0.24,0.08,0.5,0.2
2023-12-01,284,"table","furniture_rooms",0,0.25,0.11,0.19,0.27,0.12,0.5,0.4
2023-12-01,285,"télé","furniture_rooms",0.09,0,0.11,0.19,0.13,0,0.5,0
2023-12-01,286,"tiroir","furniture_rooms",0.02,0,0.11,0.15,0.1,0.04,0.5,0
2023-12-01,287,"arbre","outside_places",0.02,0.25,0.18,0.08,0.15,0.04,0.5,0.2
2023-12-01,288,"balançoire","outside_places",0.02,0,0.11,0,0.06,0.04,0.5,0.2
2023-12-01,289,"caillou","outside_places",0.06,0,0.04,0.19,0.16,0.04,0.5,0.2
2023-12-01,290,"ciel","outside_places",0,0.25,0.07,0,0.06,0,0.5,0
2023-12-01,291,"cour","outside_places",0.06,0,0,0.19,0.06,0,0.5,0
2023-12-01,292,"crèche","outside_places",0.11,0,0.18,0.19,0.38,0.33,1,0.2
2023-12-01,293,"dehors","outside_places",0.04,0.25,0.07,0.08,0.21,0.17,0.5,0.4
2023-12-01,294,"eau","outside_places",0.15,0.25,0.18,0.46,0.31,0.04,1,0.4
2023-12-01,295,"école","outside_places",0.04,0,0,0.19,0.09,0.04,0.5,0.4
2023-12-01,296,"église","outside_places",0.04,0,0,0.15,0.1,0,0.5,0.2
2023-12-01,297,"étoile","outside_places",0.02,0.25,0.04,0.04,0.07,0,0,0.2
