threshold,p.value,estimate,data_type,corpus
0.23,0.95, 0.001,actual,English
0.24,0.98, 0.001,actual,English
0.25,0.96,-0.001,actual,English
0.26,0.83,-0.005,actual,English
0.27,0.71,-0.008,actual,English
0.28,0.63,-0.011,actual,English
0.29,0.76,-0.007,actual,English
0.3,0.85,-0.004,actual,English
0.31,0.81,-0.005,actual,English
0.32,0.81,-0.005,actual,English
0.33,0.77,-0.006,actual,English
0.34,0.66,-0.010,actual,English
0.35,0.68,-0.009,actual,English
0.36,0.72,-0.008,actual,English
0.37,0.72,-0.008,actual,English
0.38,0.66,-0.010,actual,English
0.39,0.68,-0.009,actual,English
0.4,0.71,-0.008,actual,English
0.41,0.73,-0.008,actual,English
0.42,0.77,-0.007,actual,English
0.43,0.75,-0.007,actual,English
0.44,0.68,-0.009,actual,English
0.45,0.64,-0.010,actual,English
0.46,0.60,-0.012,actual,English
0.47,0.60,-0.012,actual,English
0.48,0.59,-0.012,actual,English
0.49,0.60,-0.012,actual,English
0.5,0.56,-0.013,actual,English
0.51,0.49,-0.015,actual,English
0.52,0.48,-0.016,actual,English
0.53,0.45,-0.017,actual,English
0.54,0.44,-0.017,actual,English
0.55,0.42,-0.018,actual,English
0.56,0.41,-0.018,actual,English
0.57,0.40,-0.019,actual,English
0.58,0.40,-0.019,actual,English
0.59,0.39,-0.019,actual,English
0.6,0.40,-0.019,actual,English
0.61,0.39,-0.019,actual,English
0.62,0.39,-0.019,actual,English
0.63,0.38,-0.020,actual,English
0.64,0.38,-0.020,actual,English
0.65,0.39,-0.019,actual,English
0.66,0.39,-0.019,actual,English
0.67,0.39,-0.019,actual,English
0.68,0.38,-0.019,actual,English
0.69,0.39,-0.019,actual,English
0.7,0.38,-0.020,actual,English
0.71,0.38,-0.020,actual,English
0.72,0.38,-0.020,actual,English
0.73,0.38,-0.020,actual,English
0.74,0.38,-0.020,actual,English
0.75,0.38,-0.020,actual,English
0.76,0.38,-0.020,actual,English
0.77,0.38,-0.019,actual,English
0.78,0.38,-0.019,actual,English
0.79,0.38,-0.019,actual,English
0.8,0.38,-0.019,actual,English
0.81,0.38,-0.019,actual,English
0.82,0.38,-0.019,actual,English
0.83,0.38,-0.019,actual,English
0.84,0.38,-0.020,actual,English
0.85,0.38,-0.020,actual,English
0.86,0.38,-0.019,actual,English
0.87,0.38,-0.019,actual,English
0.88,0.38,-0.019,actual,English
0.89,0.38,-0.019,actual,English
0.9,0.38,-0.019,actual,English
0.91,0.38,-0.019,actual,English
0.92,0.38,-0.019,actual,English
0.93,0.38,-0.019,actual,English
0.94,0.38,-0.019,actual,English
0.95,0.38,-0.019,actual,English
0.96,0.38,-0.019,actual,English
0.97,0.38,-0.019,actual,English
0.98,0.38,-0.019,actual,English
0.99,0.38,-0.019,actual,English
1,0.38,-0.019,actual,English
